"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs8q00","cs8q01","cs8q02","cs8q03","cs8q04","cs8q05_a","cs8q05_b","cs8q05_c","cs8q05_d","cs8q05_e","cs8q05_f","cs8q05_g","cs8q05_h","cs8q06","cs8q07","cs8q08","cs8q09","cs8q10","cs8q11_a","cs8q11_b","cs8q11_c","cs8q11_d"
"01020301001",1,1,2,3,8,88,10,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,5,0,0,,,,,
"01020301001",1,1,2,3,8,88,10,1,3,2,2,2,2,,,,,,,,,,1,150000,50000,1,1,1,1,2
"01020301001",1,1,2,3,8,88,10,1,4,1,1,1,1,1,2,1,1,2,2,1,2,1,5,0,0,,,,,
"01020301001",1,1,2,3,8,88,10,1,5,1,1,1,1,1,2,1,2,2,2,1,2,1,5,0,0,,,,,
"01020301001",1,1,2,3,8,88,10,1,6,1,1,1,1,1,2,1,2,2,2,2,2,1,5,0,0,,,,,
"01020301001",1,1,2,3,8,88,10,1,7,2,2,2,2,,,,,,,,,,1,0,0,,1,1,2,2
"01020301001",1,1,2,3,8,88,10,1,8,1,1,1,2,,,,,,,,,,1,105500,105500,1,1,1,2,2
"01020301001",1,1,2,3,8,88,10,1,9,1,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01020301001",1,1,2,3,8,88,10,1,10,1,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01020301001",1,1,2,3,8,88,10,1,11,2,2,2,2,,,,,,,,,,1,0,0,,1,1,2,2
"01020401702",1,1,2,4,8,88,17,2,1,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020401702",1,1,2,4,8,88,17,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,3,0,0,,,,,
"01020401702",1,1,2,4,8,88,17,2,3,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020401702",1,1,2,4,8,88,17,2,4,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020401702",1,1,2,4,8,88,17,2,5,1,1,1,1,1,1,1,1,2,2,2,2,1,3,0,0,,,,,
"01020401702",1,1,2,4,8,88,17,2,6,1,1,1,2,,,,,,,,,,3,0,0,,,,,
"01020401702",1,1,2,4,8,88,17,2,7,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020401702",1,1,2,4,8,88,17,2,8,2,2,2,2,,,,,,,,,,2,50000,8000,1,1,1,1,2
"01020401702",1,1,2,4,8,88,17,2,9,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020401702",1,1,2,4,8,88,17,2,10,1,1,1,2,,,,,,,,,,2,40000,1500,1,1,1,1,2
"01020401702",1,1,2,4,8,88,17,2,11,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020601301",1,1,2,6,8,88,13,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,3,0,0,,,,,
"01020601301",1,1,2,6,8,88,13,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,3,0,0,,,,,
"01020601301",1,1,2,6,8,88,13,1,3,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020601301",1,1,2,6,8,88,13,1,4,1,1,1,1,1,1,1,2,2,2,1,2,1,1,0,0,,1,1,2,2
"01020601301",1,1,2,6,8,88,13,1,5,1,1,1,1,1,2,2,2,2,2,2,2,1,3,0,0,,,,,
"01020601301",1,1,2,6,8,88,13,1,6,1,1,1,2,,,,,,,,,,3,0,0,,,,,
"01020601301",1,1,2,6,8,88,13,1,7,1,1,1,2,,,,,,,,,,1,0,0,,1,1,2,2
"01020601301",1,1,2,6,8,88,13,1,8,2,2,2,1,1,2,2,2,2,2,2,2,1,1,13000,1500,1,1,1,2,2
"01020601301",1,1,2,6,8,88,13,1,9,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,,1,1,2,2
"01020601301",1,1,2,6,8,88,13,1,10,1,1,1,2,,,,,,,,,,1,0,0,,1,1,2,2
"01020601301",1,1,2,6,8,88,13,1,11,2,2,2,2,,,,,,,,,,1,0,0,,1,1,2,2
"01020700101",0,1,2,7,8,88,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,5,0,0,,,,,
"01020700101",0,1,2,7,8,88,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,,1,1,2,2
"01020700101",0,1,2,7,8,88,1,1,3,2,2,2,2,,,,,,,,,,1,0,0,,1,1,1,1
"01020700101",0,1,2,7,8,88,1,1,4,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020700101",0,1,2,7,8,88,1,1,5,1,1,1,1,1,2,2,1,2,2,2,2,1,1,0,0,,1,1,1,1
"01020700101",0,1,2,7,8,88,1,1,6,1,1,1,1,1,2,2,1,2,2,2,2,1,1,10000,10000,1,1,1,1,1
"01020700101",0,1,2,7,8,88,1,1,7,2,2,2,2,,,,,,,,,,1,0,0,,1,1,1,1
"01020700101",0,1,2,7,8,88,1,1,8,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020700101",0,1,2,7,8,88,1,1,9,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020700101",0,1,2,7,8,88,1,1,10,1,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01020700101",0,1,2,7,8,88,1,1,11,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,400,27000,1,1,1,1,2
"01020800603",1,1,2,8,8,88,6,3,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,100,0,3,1,1,1,2
"01020800603",1,1,2,8,8,88,6,3,3,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,4,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,5,1,1,1,1,1,1,1,2,2,2,2,2,1,3,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,6,1,1,1,1,2,2,2,2,2,2,2,2,2,3,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,7,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,8,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,9,1,1,1,1,2,2,2,2,2,2,2,2,2,3,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,10,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020800603",1,1,2,8,8,88,6,3,11,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020900602",1,1,2,9,8,88,6,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,0,0,,2,2,2,2
"01020900602",1,1,2,9,8,88,6,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,0,0,,2,2,2,2
"01020900602",1,1,2,9,8,88,6,2,3,2,2,2,2,,,,,,,,,,1,0,0,,1,1,1,2
"01020900602",1,1,2,9,8,88,6,2,4,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,,2,2,2,2
"01020900602",1,1,2,9,8,88,6,2,5,1,1,1,1,1,2,2,2,2,2,2,1,1,1,0,0,,1,1,1,2
"01020900602",1,1,2,9,8,88,6,2,6,1,1,1,1,1,2,2,2,2,2,2,2,1,2,0,0,,2,2,2,2
"01020900602",1,1,2,9,8,88,6,2,7,2,2,2,2,,,,,,,,,,1,0,0,,1,1,1,2
"01020900602",1,1,2,9,8,88,6,2,8,2,2,2,2,,,,,,,,,,1,15800,15800,1,1,1,2,2
"01020900602",1,1,2,9,8,88,6,2,9,2,2,2,2,,,,,,,,,,2,0,0,,2,2,2,2
"01020900602",1,1,2,9,8,88,6,2,10,2,2,2,2,,,,,,,,,,1,0,0,,1,1,1,2
"01020900602",1,1,2,9,8,88,6,2,11,2,2,2,2,,,,,,,,,,2,0,0,,2,2,2,2
"01030100204",1,1,3,1,8,88,2,4,1,2,1,1,2,,,,,,,,,,2,0,0,,1,2,2,2
"01030100204",1,1,3,1,8,88,2,4,2,2,1,1,2,,,,,,,,,,2,0,0,,1,2,2,2
"01030100204",1,1,3,1,8,88,2,4,3,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030100204",1,1,3,1,8,88,2,4,4,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01030100204",1,1,3,1,8,88,2,4,5,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01030100204",1,1,3,1,8,88,2,4,6,1,1,1,1,1,2,2,2,2,2,2,2,1,2,0,0,,1,2,2,2
"01030100204",1,1,3,1,8,88,2,4,7,2,2,2,2,,,,,,,,,,2,0,0,,1,2,2,2
"01030100204",1,1,3,1,8,88,2,4,8,2,2,2,2,,,,,,,,,,2,0,0,,1,2,2,2
"01030100204",1,1,3,1,8,88,2,4,9,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030100204",1,1,3,1,8,88,2,4,10,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,,1,2,2,2
"01030100204",1,1,3,1,8,88,2,4,11,2,2,2,2,,,,,,,,,,2,0,0,,1,2,2,2
"01030300605",1,1,3,3,8,88,6,5,1,2,2,2,2,,,,,,,,,,2,0,0,,1,2,2,2
"01030300605",1,1,3,3,8,88,6,5,2,2,2,2,2,,,,,,,,,,2,0,0,,1,2,2,2
"01030300605",1,1,3,3,8,88,6,5,3,2,2,2,2,,,,,,,,,,2,0,0,,1,2,2,2
"01030300605",1,1,3,3,8,88,6,5,4,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01030300605",1,1,3,3,8,88,6,5,5,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030300605",1,1,3,3,8,88,6,5,6,1,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01030300605",1,1,3,3,8,88,6,5,7,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
"01030300605",1,1,3,3,8,88,6,5,8,2,2,2,2,,,,,,,,,,1,0,0,,1,2,2,2
