"individual_id","holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s1q00","ph_s1q02","ph_s1q03","ph_s1q04","ph_s1q05"
"0101030010613603","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,3,38,1,4,
"0101030010613604","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,4,29,2,4,
"0101030010613605","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,5,26,2,4,
"0101030010613606","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,6,20,1,4,
"0101030010613607","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,7,11,1,4,
"0101030010613608","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,8,14,2,4,
"0101030010613609","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,9,8,1,4,
"0101030010613610","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,10,4,2,4,
"0101030180400401","0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,1,3,18,4,4,1,1,32,1,3,"X"
"0101030180400402","0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,1,3,18,4,4,1,2,27,2,4,
"0101030180400403","0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,1,3,18,4,4,1,3,6,1,4,
"0101030180400404","0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,1,3,18,4,4,1,4,1,1,4,
"0101030180401901","0101030180401901","01010301804019","01010301804",1,3901.22436523438,1,1,3,18,4,19,1,1,75,1,3,"X"
"0101030180401902","0101030180401901","01010301804019","01010301804",1,3901.22436523438,1,1,3,18,4,19,1,2,66,2,4,
"0101030180401903","0101030180401901","01010301804019","01010301804",1,3901.22436523438,1,1,3,18,4,19,1,3,30,2,4,
"0101030180401904","0101030180401901","01010301804019","01010301804",1,3901.22436523438,1,1,3,18,4,19,1,4,10,2,4,
"0101030180401905","0101030180401901","01010301804019","01010301804",1,3901.22436523438,1,1,3,18,4,19,1,5,6,1,4,
"0101030180403401","0101030180403401","01010301804034","01010301804",1,3901.22436523438,1,1,3,18,4,34,1,1,71,2,3,"X"
"0101030180403402","0101030180403401","01010301804034","01010301804",1,3901.22436523438,1,1,3,18,4,34,1,2,23,1,4,
"0101030180404901","0101030180404901","01010301804049","01010301804",1,3901.22436523438,1,1,3,18,4,49,1,1,40,2,3,"X"
"0101030180404902","0101030180404901","01010301804049","01010301804",1,3901.22436523438,1,1,3,18,4,49,1,2,7,2,4,
"0101030180406901","0101030180406901","01010301804069","01010301804",1,3901.22436523438,1,1,3,18,4,69,1,1,35,2,3,"X"
"0101030180406902","0101030180406901","01010301804069","01010301804",1,3901.22436523438,1,1,3,18,4,69,1,2,17,2,4,
"0101030180406903","0101030180406901","01010301804069","01010301804",1,3901.22436523438,1,1,3,18,4,69,1,3,1,2,4,
"0101030180408501","0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,1,3,18,4,85,1,1,29,1,3,"X"
"0101030180408502","0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,1,3,18,4,85,1,2,22,2,4,
"0101030180408503","0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,1,3,18,4,85,1,3,7,2,4,
"0101030180408504","0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,1,3,18,4,85,1,4,5,1,4,
"0101030180408505","0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,1,3,18,4,85,1,5,1,1,4,
"0101030180410001","0101030180410001","01010301804100","01010301804",1,3901.22436523438,1,1,3,18,4,100,1,1,58,2,3,"X"
"0101030180410002","0101030180410001","01010301804100","01010301804",1,3901.22436523438,1,1,3,18,4,100,1,2,22,1,4,
"0101030180410003","0101030180410001","01010301804100","01010301804",1,3901.22436523438,1,1,3,18,4,100,1,3,19,1,4,
