"household_id","ea_id","rural","pw","ent_id","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s11bq00","hh_s11bq01_a","hh_s11bq01_b","hh_s11bq01_c","hh_s11bq02","hh_s11bq03_a","hh_s11bq03_b","hh_s11bq04_a","hh_s11bq04_b","hh_s11bq05_a","hh_s11bq05_b","hh_s11bq06_a","hh_s11bq06_b","hh_s11bq07","hh_s11bq08_a","hh_s11bq08_b","hh_s11bq08_c","hh_s11bq09","hh_s11bq10","hh_s11bq11","hh_s11bq12_a","hh_s11bq12_b","hh_s11bq12_c","hh_s11bq12_d","hh_s11bq12_e","hh_s11bq13","hh_s11bq14","hh_s11bq15","hh_s11bq16_a","hh_s11bq16_b","hh_s11bq16_c","hh_s11bq17"
"01030300605107","01030300605",1,2626.85595703125,"0103030060510701",1,3,3,8,88,6,5,107,1,,7,7,4,1,2,3,2,5,1988,1,,2,7,8,9,12,25,0,1,2,,,,4000,6000,4,1,,,
"01030400101054","01030400101",1,2422.92724609375,"0103040010105401",1,3,4,8,88,1,1,54,1,,5,7,5,3,,5,,4,2003,1,2,2,5,7,10,9,30,0,3,,,,,300,7000,1,81,83,,1
"01030501202043","01030501202",1,2389.9775390625,"0103050120204301",1,3,5,8,88,12,2,43,1,,7,,3,2,,1,,9,1997,1,,2,6,7,8,7,8,0,,,,,,1300,800,2,,,,2
"01030501202059","01030501202",1,336.616577148438,"0103050120205901",1,3,5,8,88,12,2,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01030501202086","01030501202",1,2389.9775390625,"0103050120208601",1,3,5,8,88,12,2,86,1,,5,,3,1,,1,,9,1990,3,1,1,13,,,1,8,0,,,,,,34800,33000,3,64,,,2
"01030700116028","01030700116",0,1268.06896972656,"0103070011602801",1,3,7,8,88,1,16,28,1,,9,,1,1,,10,,11,1984,7,,2,8,12,4,12,30,0,1,2,,,,620,530,5,101,,,1
"01030700116028","01030700116",0,1268.06896972656,"0103070011602802",1,3,7,8,88,1,16,28,2,,9,,6,2,,10,,7,2000,7,,2,1,5,,12,15,0,2,,,,,290,250,5,101,,,2
"01030700116100","01030700116",0,1268.06896972656,"0103070011610001",1,3,7,8,88,1,16,100,1,,5,5,4,1,2,9,,3,1997,1,,2,1,4,8,12,30,0,1,2,,,,5000,3000,5,131,83,,1
"01030700709006","01030700709",1,2541.76318359375,"0103070070900601",1,3,7,8,88,7,9,6,1,,5,,3,1,,2,,7,1994,2,,2,2,3,,12,4,0,,,,,,700,500,2,,,,2
"01030700709006","01030700709",1,2541.76318359375,"0103070070900602",1,3,7,8,88,7,9,6,2,,7,,6,2,,10,,1,1998,1,,1,2,3,4,4,5,0,,,,,,,,2,,,,
"01030700709025","01030700709",1,2541.76318359375,"0103070070902501",1,3,7,8,88,7,9,25,1,,9,,6,1,,1,,13,2004,1,,1,5,6,7,5,15,,,,,,,,,2,42,,,
"01030700709061","01030700709",1,2541.76318359375,"0103070070906101",1,3,7,8,88,7,9,61,1,,5,7,3,1,,6,,9,2003,2,,2,6,7,8,9,4,0,2,,,,,50,500,2,,,,2
"01030700709115","01030700709",1,2541.76318359375,"0103070070911501",1,3,7,8,88,7,9,115,1,,7,3,6,1,,2,,1,1994,1,,2,1,2,3,4,5,1,,,,,,500,,2,,,,2
"01030700709151","01030700709",1,2541.76318359375,"0103070070915101",1,3,7,8,88,7,9,151,1,,5,7,2,1,1,2,,3,4,2,,2,1,5,8,12,11,0,2,,,,,400,50000,2,,,,
"01030700709166","01030700709",1,672.424133300781,"0103070070916601",1,3,7,8,88,7,9,166,1,,5,7,3,2,,4,,2,2001,2,,2,2,3,4,10,4,0,,,,,,60,500,2,,,,2
"01030700709171","01030700709",1,2541.76318359375,"0103070070917101",1,3,7,8,88,7,9,171,1,,10,12,9,2,,10,,11,1978,6,,2,,,,12,22,0,,,,,,0,0,2,,,,
"01040101204022","01040101204",1,3055.30517578125,"0104010120402201",1,4,1,8,88,12,4,22,1,,7,3,7,4,,2,,7,2003,2,3,1,8,1,,2,7,0,,,,,,500,100,2,101,111,,2
"01040101204172","01040101204",1,3055.30517578125,"0104010120417201",1,4,1,8,88,12,4,172,1,,9,7,3,3,,1,,1,2001,2,3,1,4,7,10,5,5,0,1,5,6,,,1100,600,2,,,,2
"01040101204172","01040101204",1,3055.30517578125,"0104010120417202",1,4,1,8,88,12,4,172,2,,9,3,7,3,,2,,8,2003,3,,1,10,11,2,7,7,0,,,,,,2000,0,2,,,,2
"01040300109023","01040300109",0,1049.10815429688,"0104030010902301",1,4,3,2,1,1,9,23,1,,1,7,4,1,2,1,,3,2001,3,1,2,9,10,8,12,25,3,16,3,2,5,16,1300,100000,2,,,,1
"01040300109023","01040300109",0,1049.10815429688,"0104030010902302",1,4,3,2,1,1,9,23,2,,7,6,1,2,6,1,2,10,2001,3,,2,2,3,,12,30,1,4,5,,,,32700,38332,1,,,,2
"01040300109047","01040300109",0,1049.10815429688,"0104030010904701",1,4,3,2,1,1,9,47,1,,8,,1,1,,2,,5,2003,1,,2,3,4,,12,30,0,,,,,,590,389,4,83,,,1
"01040300109047","01040300109",0,1049.10815429688,"0104030010904702",1,4,3,2,1,1,9,47,2,,7,,3,2,,9,,10,2003,1,,2,1,9,,12,20,0,3,,,,,1200,800,2,81,,,2
"01040300109059","01040300109",0,1049.10815429688,"0104030010905901",1,4,3,2,1,1,9,59,1,,7,,4,1,,2,,1,2002,1,,2,10,2,3,12,30,0,,,,,,1630,1200,1,,,,2
"01040300109059","01040300109",0,1049.10815429688,"0104030010905902",1,4,3,2,1,1,9,59,2,,7,5,5,3,,7,,9,2002,1,,2,3,4,,12,16,0,,,,,,310,210,2,,,,2
