"holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s11q01","ph_s11q02_a","ph_s11q02_b","ph_s11q03_a","ph_s11q03_b","ph_s11q04_a","ph_s11q04_b","ph_s11q05_a","ph_s11q05_b","ph_s11q06_a","ph_s11q06_b","ph_s11q07","ph_s11q08","ph_s11q09","ph_s11q10_a","ph_s11q10_b","ph_s11q11_a","ph_s11q11_b","ph_s11q12_a","ph_s11q12_b","ph_s11q13_a","ph_s11q13_b","ph_s11q14_a","ph_s11q14_b","ph_s11q15_a","ph_s11q15_b","ph_s11q15_c","ph_s11q16_a","ph_s11q16_b","ph_s11q17","ph_s11q18","ph_s11q19_a","ph_s11q19_b","ph_s11q20_a","ph_s11q20_b","ph_s11q21_a","ph_s11q21_b","ph_s11q22_a","ph_s11q22_b","ph_s11q22_c","ph_s11q22_d","ph_s11q22_e","ph_s11q22_f","ph_s11q22_g"
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,"MILLET",3,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,15,0,0,0,,,,1,5,100,0,5,,1,,60,10,25,5,0,0,100
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,"TEFF",7,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,30,0,0,,,,,1,5,200,0,5,,1,,70,5,25,0,0,0,100
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,"HORSE BEANS",13,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,1,,0,0,0,0,0,0,0
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,"LINESEED",23,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,5,25,0,5,,1,,100,0,0,0,0,0,100
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,20,0,50,0,,2,,1,5,200,0,5,,1,,85,10,5,5,0,0,100
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,"MILLET",3,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,46,0,0,0,,,,1,5,200,0,5,,1,,60,10,10,10,0,10,100
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,"TEFF",7,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,51,0,0,0,,,,1,5,300,0,5,,1,,60,10,10,10,0,10,100
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,2,14,3,26,1,"MAIZE",2,2,,,,,,,,,,,,,,0,,0,,0,,0,,10,0,0,,,,,1,5,200,0,5,,1,,75,5,5,5,0,10,100
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,2,14,3,26,1,"MILLET",3,2,,,,,,,,,,,,,,0,,0,,0,,0,,8,0,0,,,,,1,5,50,0,5,,1,,50,10,20,0,0,20,100
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,2,14,3,26,1,"TEFF",7,2,,,,,,,,,,,,,,0,,0,,0,,0,,13,250,0,,,,,1,5,100,0,5,,1,,90,5,5,0,0,0,100
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,2,14,3,26,1,"HORSE BEANS",13,2,,,,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,,,,1,5,20,0,5,,1,,100,0,0,0,0,0,100
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,"MAIZE",2,2,,,,,,,,,,,,,,0,,0,,0,,0,,15,500,0,0,,,,1,5,200,0,5,,1,8,70,10,10,0,0,10,100
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,"TEFF",7,2,,,,,,,,,,,,,,,,,,,,,,40,500,,,0,,,1,5,250,0,5,,1,8,50,10,35,0,0,5,100
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,"BARLEY",1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,5,0,0,5,,1,,100,0,0,0,0,0,100
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,"MAIZE",2,2,,,,,,,,,,,,,,0,,0,,0,,0,,22,500,0,,,,,1,5,400,0,5,,1,,80,10,10,0,0,0,100
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,"MILLET",3,1,"N01",,10,0,32,,1,2,4,2004,1,1,0,40,0,0,0,0,0,0,0,30,0,,,,,,1,5,500,0,5,,1,,50,10,40,0,0,0,100
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,"SORGHUM",6,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,,6,,2,,,,,,,,90,5,5,0,0,0,100
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,"TEFF",7,1,"N01",,20,,96,,1,2,4,2004,1,1,,10,0,0,0,0,0,0,0,150,0,0,,,,,1,5,800,0,5,,1,,80,10,10,0,0,0,100
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,"CHICK PEAS",11,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,10,90,0,0,0,0,100
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,"BARLEY",1,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,1,5,0,,0,,1,,100,0,0,0,0,0,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,"MAIZE",2,2,,,,,,,,,,,,,,40,0,0,,0,,0,,50,0,0,,,,,1,5,300,0,5,,1,,80,10,0,0,0,10,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,"MILLET",3,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,35,0,0,,,,,1,5,0,,0,,1,,50,10,30,5,0,5,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,"SORGHUM",6,2,,,,,,,,,,,,,,30,0,0,0,0,0,0,0,20,0,0,,,,,1,5,200,,5,,1,,95,5,0,0,0,0,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,"TEFF",7,2,,,,,,,,,,,,,,250,10,0,0,0,0,0,0,200,0,0,,,,,1,5,0,,0,,1,,80,10,10,0,0,0,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,"CHICK PEAS",11,2,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,30,0,0,,,,,1,5,100,,5,,1,,95,5,0,0,0,0,100
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,"HORSE BEANS",13,2,,,,,,,,,,,,,,0,,0,,0,,0,,10,0,0,,,,,1,5,100,,5,,1,,80,10,10,0,0,0,100
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,"MAIZE",2,1,"N01",,65,0,300,,1,2,5,2004,1,1,0,0,,0,,0,,0,,15,0,0,,,,,1,5,500,0,5,,1,,75,10,10,0,0,5,100
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,"RICE",5,2,,,,,,,,,,,,,,0,,0,,0,,0,,30,0,0,,,,,1,5,300,0,5,,1,,50,10,40,0,0,0,100
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,"SORGHUM",6,2,,,,,,,,,,,,,,0,,0,,0,,0,,0,,100,0,,6,,1,5,10,0,5,,1,,90,10,0,0,0,0,100
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,"TEFF",7,2,,,,,,,,,,,,,,34,0,0,,0,,0,,51,0,0,,,,,1,5,400,0,5,,1,,33,7,60,0,0,0,100
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,"CHICK PEAS",11,2,,,,,,,,,,,,,,0,,0,,0,,0,,20,250,0,,,,,1,5,50,0,5,,1,,10,10,80,0,0,0,100
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,1,"MAIZE",2,2,,,,,,,,,,,,,,10,,0,,0,,0,,10,250,0,,,,,1,5,150,0,5,1,1,,65,10,10,5,0,10,100
