"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s6aq00","hh_s6aq0a","hh_s6aq01","hh_s6aq02"
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,11,"Transport",2,
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,1,"Matches",1,2
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,2,"Batteries",2,
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,3,"Candles, incense",2,
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,4,"Laundry soap",1,12
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,5,"Hand soap",2,
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,6,"Other personal care goods",2,
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,7,"Charcoal",2,
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,8,"Firewood",2,
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,9,"Kerosene",1,12
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,11,"Transport",2,
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,1,"Matches",1,2
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,2,"Batteries",2,
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,3,"Candles, incense",2,
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,4,"Laundry soap",1,16
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,5,"Hand soap",1,6
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,6,"Other personal care goods",2,
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,7,"Charcoal",2,
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,8,"Firewood",2,
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,9,"Kerosene",1,12
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,11,"Transport",2,
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,1,"Matches",1,2
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,2,"Batteries",1,5
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,3,"Candles, incense",2,
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,4,"Laundry soap",1,12
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,5,"Hand soap",1,12
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,6,"Other personal care goods",2,
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,7,"Charcoal",2,
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,8,"Firewood",2,
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,9,"Kerosene",1,24
