"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q08","cs6q09_1","cs6q09_2","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"02010501103",1,2,1,5,8,88,11,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02010600402",1,2,1,6,8,88,4,2,1,2,,,4,5,,9,10,,3,2,2,1,,,1,250,4,2,4,1,9,9,2,2,4,4,9,4,2,4,9,9,4,2,5,3
"02030100101",0,2,3,1,1,1,1,1,1,73,58,63,8,9,,12,,,2,3,2,1,,,1,80,1,2,2,1,3,3,2,3,4,4,3,4,4,4,3,3,4,4,5,4
"02030200102",1,2,3,2,8,88,1,2,1,2,58,63,12,11,,4,7,,3,3,2,1,,,1,50,2,2,1,1,1,3,3,3,4,4,3,4,4,4,3,9,3,4,3,4
"02030400601",1,2,3,4,8,88,6,1,1,73,63,58,10,9,4,1,12,6,3,3,1,1,,,1,25,4,2,4,1,1,9,1,1,4,4,9,4,5,5,9,9,5,1,1,5
"02030600601",1,2,3,6,8,88,6,1,1,6,7,2,8,11,11,3,2,3,3,3,1,1,,,1,6,1,1,1,1,2,3,1,1,4,4,4,4,1,1,9,9,4,3,5,4
"03010100204",1,3,1,1,8,88,2,4,1,6,3,25,9,10,11,2,3,4,2,2,1,1,,,2,,1,1,4,1,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3
"03010400901",1,3,1,4,8,88,9,1,1,6,3,2,9,10,,2,3,,2,1,2,2,12,,1,20,1,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,2,2,3,3
"03010800701",1,3,1,8,8,88,7,1,1,2,1,3,9,11,9,2,4,6,2,2,2,1,,,1,40,1,1,1,1,1,1,9,2,4,4,1,3,4,4,2,2,5,4,3,4
"03011001806",1,3,1,10,8,88,18,6,1,8,1,13,10,10,10,4,2,2,2,3,1,1,,,1,40,3,3,3,1,3,3,3,2,4,5,3,4,2,3,3,1,3,3,4,3
"03011100102",0,3,1,11,8,88,1,2,1,7,6,13,9,11,,3,4,5,2,3,3,2,5,,2,,3,3,3,1,1,1,1,1,4,4,4,3,4,4,4,4,4,4,4,4
"03011200203",1,3,1,12,8,88,2,3,1,6,3,2,9,10,11,2,3,4,2,3,2,1,,,2,,4,1,1,1,9,1,3,1,4,4,3,4,4,4,4,3,5,3,3,3
"03011400816",1,3,1,14,8,88,8,16,1,6,27,73,10,11,,2,3,,2,2,1,1,,,1,12,4,3,3,1,9,1,1,1,4,4,4,4,4,4,4,3,4,4,4,4
"03011602804",1,3,1,16,8,88,28,4,1,7,11,6,10,12,9,2,3,3,2,3,1,1,,,1,411,3,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,3,3,1,3
"03012000105",0,3,1,20,1,1,1,5,1,6,3,2,9,10,,3,4,,2,2,2,1,,,1,16,1,1,1,1,1,1,1,3,1,1,3,1,3,3,3,3,3,3,3,3
"03020100703",1,3,2,1,8,88,7,3,1,6,7,2,10,11,10,3,2,1,3,1,1,1,,,1,15,1,1,1,1,3,3,3,3,4,5,3,3,2,3,3,2,3,3,2,3
"03020202508",1,3,2,2,8,88,25,8,1,7,1,3,11,10,1,3,5,4,2,2,1,1,,,1,1064,1,2,1,1,1,1,1,2,4,4,4,4,4,4,4,2,2,2,4,3
"03020400906",1,3,2,4,8,88,9,6,1,8,1,7,9,10,11,4,3,5,2,2,3,1,,,2,,1,1,1,1,3,3,1,3,5,5,4,4,4,2,5,1,2,3,4,3
"03020501907",1,3,2,5,8,88,19,7,1,8,1,60,9,9,7,3,4,12,2,2,2,1,,,1,400,3,3,3,1,1,1,1,3,4,4,4,3,4,4,4,1,4,4,4,4
"03020703703",1,3,2,7,8,88,37,3,1,7,16,1,11,1,9,1,3,4,2,1,2,1,,,1,60,3,3,3,1,1,3,9,3,3,3,3,3,2,4,3,2,4,1,2,9
"03020900104",0,3,2,9,1,1,1,4,1,3,2,7,9,9,11,2,3,4,2,2,2,1,,,2,,4,3,4,1,1,1,3,3,3,3,1,3,4,4,3,1,5,3,3,4
"03020900708",1,3,2,9,8,88,7,8,1,2,3,7,9,10,11,3,4,1,2,2,2,1,,,2,,3,3,3,1,3,2,3,3,3,4,3,3,3,4,3,1,4,3,4,3
"03030100204",1,3,3,1,8,88,2,4,1,8,7,1,9,10,11,2,3,4,2,3,1,1,,,2,,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,2,1,4,1
"03030200108",0,3,3,2,2,2,1,8,1,6,7,2,8,9,11,4,3,,1,3,1,1,,,1,70,1,1,1,3,1,1,1,1,4,4,4,2,4,3,4,3,4,2,4,4
