"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s9q01","ph_s9q02_a","ph_s9q02_b","ph_s9q03_a","ph_s9q03_b","ph_s9q04_a","ph_s9q04_b","ph_s9q05_a","ph_s9q05_b","ph_s9q06","ph_s9q07","ph_s9q08_a","ph_s9q08_b","ph_s9q09","ph_s9q10","ph_s9q11","ph_s9q12_a","ph_s9q12_b","ph_s9q13_a","ph_s9q13_b"
"0101060040207501","01010600402075","01010600402",1,3720.59497070313,1,2,1,1,6,4,2,75,1,"MAIZE",2,1,13,2,1,910,28,2,1,880,1,2,,,2,,,300,0,1,3
"0101060040207501","01010600402075","01010600402",1,3720.59497070313,3,1,1,1,6,4,2,75,1,"SORGHUM",6,1,,,,,,,,,,,,,,,,,,,
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,3,1,1,1,6,4,2,112,1,"TEFF",7,1,17,3,1,20,2,4,1,10,2,2,,,2,,,370,250,1,3
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,4,1,1,1,6,4,2,112,1,"SORGHUM",6,1,,,,,,,,,,,,,,,,,,,
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,4,2,1,1,6,4,2,112,1,"NUEG",25,1,15,3,0,230,29,3,0,210,1,1,5,,1,16,75,6,650,2,2
"0101060040213001","01010600402130","01010600402",1,3720.59497070313,4,1,1,1,6,4,2,130,1,"CHICK PEAS",11,1,,,,,,,,,,,,,,,,,,,
"0101060040214801","01010600402148","01010600402",1,3720.59497070313,2,1,1,1,6,4,2,148,1,"MILLET",3,1,11,3,1,900,27,3,1,850,2,2,,,2,,,1190,850,2,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,2,3,1,2,1,2,7,2,1,"TEFF",7,1,10,2,0,25,2,0,100,2,2,1,1,2,1,2,67,14,750,2,2
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,5,1,1,2,1,2,7,2,1,"MILLET",3,1,11,2,0,600,26,2,0,600,2,1,1,2,1,2,33,620,70,2,2
"0102010020701201","01020100207012","01020100207",1,2697.60473632813,1,2,1,2,1,2,7,12,1,"MAIZE",2,1,11,2,0,580,26,2,0,580,1,1,1,2,1,2,33,15,250,2,2
"0102010020701201","01020100207012","01020100207",1,2697.60473632813,1,3,1,2,1,2,7,12,1,"SORGHUM",6,1,9,3,0,420,24,3,0,420,2,1,1,2,1,2,50,25,800,3,3
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,2,1,1,2,1,2,7,17,1,"TEFF",7,1,15,2,0,120,27,2,0,120,2,1,1,2,1,2,33,56,520,2,2
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,1,5,1,2,1,2,7,27,1,"BARLEY",1,1,26,1,0,450,12,2,0,425,2,2,,,2,,,14,200,1,2
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,1,2,1,2,1,2,7,47,1,"MAIZE",2,1,13,2,0,750,28,2,0,580,1,1,1,2,1,5,50,39,380,1,1
"0102010020707701","01020100207077","01020100207",1,2697.60473632813,2,1,1,2,1,2,7,77,1,"MILLET",3,1,14,2,0,620,29,2,0,620,2,1,1,2,1,2,25,192,200,2,2
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,1,2,1,2,1,2,7,92,1,"MAIZE",2,1,11,2,0,600,27,2,0,590,1,1,1,2,1,2,50,9,940,2,2
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,1,6,1,2,1,2,7,92,1,"BARLEY",1,1,28,1,0,400,14,2,0,400,2,1,1,2,2,,,6,500,1,2
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,2,2,1,2,1,2,7,92,1,"SORGHUM",6,1,11,3,0,490,26,3,0,490,2,1,1,2,1,2,67,190,860,3,3
