"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_saq09","hh_saq13_a","hh_saq13_b","hh_saq13_c","hh_saq14_a","hh_saq14_b","hh_saq15_a","hh_saq15_b","hh_saq16_a","hh_saq16_b","hh_saq16_c","hh_saq16_d","hh_saq16_e","hh_saq16_f","hh_saq16_g","hh_saq16_h","hh_saq16_i","hh_saq16_j","hh_saq16_k","hh_saq16_l","hh_saq16_m","hh_saq16_n","hh_saq16_o","hh_saq16_p","hh_saq17_a","hh_saq17_b","hh_saq17_c","hh_saq18_a","hh_saq18_b","hh_saq19_a","hh_saq19_b","hh_saq20_a","hh_saq20_b","hh_saq20_c","hh_saq20_d","hh_saq20_e","hh_saq20_f","hh_saq20_g","hh_saq20_h","hh_saq20_i","hh_saq20_j","hh_saq20_k","hh_saq20_l","hh_saq20_m","hh_saq20_n","hh_saq20_o","hh_saq20_p","hh_saq21_a","hh_saq21_b","hh_saq21_c","hh_saq22_a","hh_saq22_b","hh_saq23_a","hh_saq23_b","hh_saq24_a","hh_saq24_b","hh_saq24_c","hh_saq24_d","hh_saq24_e","hh_saq24_f","hh_saq24_g","hh_saq24_h","hh_saq24_i","hh_saq24_j","hh_saq24_k","hh_saq24_l","hh_saq24_m","hh_saq24_n","hh_saq24_o","hh_saq24_p","hh_saq26_a","hh_saq26_b","hh_saq26_c","hh_saq26_d","hh_saq27_a","hh_saq27_b","hh_saq27_c","hh_saq27_d","hh_saq28_a","hh_saq28_b","hh_saq28_c","hh_saq28_d","hh_saq29_a","hh_saq29_b","hh_saq29_c","hh_saq29_d","hh_saq30_a","hh_saq30_b","hh_saq30_c","hh_saq30_d","hh_saq31_a","hh_saq31_b","hh_saq31_c","hh_saq31_d","hh_saq32_a","hh_saq32_b","hh_saq32_c","hh_saq32_d","hh_saq33_a","hh_saq33_b"
"01010300106112","01010300106",0,768.159851074219,1,1,3,1,1,1,6,112,3,17,5,2004,2,40,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,26,5,2004,,,,,,28,6,2004,,,,,,4,8,2004,,9,8,2004,1,
"01010300106124","01010300106",0,768.159851074219,1,1,3,1,1,1,6,124,2,9,5,2004,2,55,4,40,,,,,,,,,,,,,,,,,9,5,2004,7,30,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,8,2004,,,,,,4,8,2004,,8,8,2004,1,
"01010300106136","01010300106",0,768.159851074219,1,1,3,1,1,1,6,136,9,17,5,2004,10,20,12,15,,,,,,,,,,,,,,,,,20,5,2004,4,20,10,5,,,,,,,,,,,,,,,,,21,5,2004,3,10,3,45,,,,,,,,,,,,,,,,,,26,5,2004,,26,5,2004,,,,,,28,6,2004,,,,,,4,8,2004,,8,8,2004,,
"01010301804004","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,4,4,17,5,2004,2,5,8,25,,,,,,,,,,,,,,,,,,5,2004,9,0,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,4,8,2004,,8,8,2004,1,
"01010301804019","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,19,5,16,5,2004,1,5,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,4,8,2004,,8,8,2004,1,
"01010301804034","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,34,2,13,5,2004,8,20,12,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,3,8,2004,,4,8,2004,1,
"01010301804049","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,49,2,15,8,2004,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,3,8,2004,,4,8,2004,1,
"01010301804051","01010301804",1,764.945922851563,1,1,3,8,88,18,4,51,2,15,5,2004,8,10,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,4,8,2004,,8,8,2004,1,
"01010301804054","01010301804",1,764.945922851563,1,1,3,8,88,18,4,54,1,13,5,2004,2,30,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,4,8,2004,,8,8,2004,1,
"01010301804069","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,69,3,14,5,2004,2,50,9,30,,,,,,,,,,,,,,,,,20,5,2004,9,30,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,4,8,2004,,4,8,2004,1,
"01010301804085","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,85,5,19,5,2004,1,0,6,0,,,,,,,,,,,,,,,,,21,5,2004,5,0,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,2004,,22,5,2004,,,,,,,,,,,,,,4,8,2004,,8,8,2004,1,
"01010301804100","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,100,4,17,5,2004,8,40,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,4,8,2004,,8,8,2004,1,
"01010301804115","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,115,6,18,5,2004,2,50,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,3,8,2004,,4,8,2004,1,
"01010301804130","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,130,9,19,5,2004,7,0,12,5,,,,,,,,,,,,,,,,,21,5,2004,1,0,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,4,8,2004,,8,8,2004,1,
"01010301804145","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,145,8,20,5,2004,4,0,8,40,,,,,,,,,,,,,,,,,21,5,2004,7,20,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,2004,,25,5,2004,,,,,,27,6,2004,,,,,,3,8,2004,,8,8,2004,1,
"01010500204001","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,1,3,14,5,2004,2,0,5,0,,,,"X",,,,,,,,,,,,,14,5,2004,7,0,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,2004,,9,6,2004,,,,,,28,6,2004,,,,,,,,,,9,8,2004,1,
"01010500204025","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,25,8,12,5,2004,10,0,12,0,,,,"X",,,,,,,,,,,,,21,5,2004,2,30,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,2004,,6,6,2004,,,,,,28,6,2004,,,,,,,,,,9,8,2004,1,
