"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s5cq00","hh_s5cq0a","hh_s5cq04","hh_s5cq05"
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,"B","Children 6-15 ye",0,0
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,"C","Adults 16-65 yea",0,0
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,"D","Adults over 65 y",0,0
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,"A","Children 0-5 yea",0,0
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,"B","Children 6-15 ye",0,0
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,"C","Adults 16-65 yea",3,7
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,"D","Adults over 65 y",0,0
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,"A","Children 0-5 yea",0,0
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,"B","Children 6-15 ye",0,0
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,"C","Adults 16-65 yea",0,0
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,"D","Adults over 65 y",0,0
"01010300106004","01010300106",0,768.159851074219,1,1,3,1,1,1,6,4,"A","Children 0-5 yea",0,0
"01010300106004","01010300106",0,768.159851074219,1,1,3,1,1,1,6,4,"B","Children 6-15 ye",1,1
"01010300106004","01010300106",0,768.159851074219,1,1,3,1,1,1,6,4,"C","Adults 16-65 yea",3,12
"01010300106004","01010300106",0,768.159851074219,1,1,3,1,1,1,6,4,"D","Adults over 65 y",0,0
"01010300106016","01010300106",0,768.159851074219,1,1,3,1,1,1,6,16,"A","Children 0-5 yea",1,1
"01010300106016","01010300106",0,768.159851074219,1,1,3,1,1,1,6,16,"B","Children 6-15 ye",1,1
"01010300106016","01010300106",0,768.159851074219,1,1,3,1,1,1,6,16,"C","Adults 16-65 yea",5,5
"01010300106016","01010300106",0,768.159851074219,1,1,3,1,1,1,6,16,"D","Adults over 65 y",0,0
"01010300106028","01010300106",0,768.159851074219,1,1,3,1,1,1,6,28,"A","Children 0-5 yea",2,2
"01010300106028","01010300106",0,768.159851074219,1,1,3,1,1,1,6,28,"B","Children 6-15 ye",0,0
"01010300106028","01010300106",0,768.159851074219,1,1,3,1,1,1,6,28,"C","Adults 16-65 yea",1,1
"01010300106028","01010300106",0,768.159851074219,1,1,3,1,1,1,6,28,"D","Adults over 65 y",0,0
"01010300106040","01010300106",0,768.159851074219,1,1,3,1,1,1,6,40,"A","Children 0-5 yea",0,0
"01010300106040","01010300106",0,768.159851074219,1,1,3,1,1,1,6,40,"B","Children 6-15 ye",1,1
"01010300106040","01010300106",0,768.159851074219,1,1,3,1,1,1,6,40,"C","Adults 16-65 yea",2,2
"01010300106040","01010300106",0,768.159851074219,1,1,3,1,1,1,6,40,"D","Adults over 65 y",0,0
"01010300106052","01010300106",0,768.159851074219,1,1,3,1,1,1,6,52,"A","Children 0-5 yea",0,0
"01010300106052","01010300106",0,768.159851074219,1,1,3,1,1,1,6,52,"B","Children 6-15 ye",0,0
"01010300106052","01010300106",0,768.159851074219,1,1,3,1,1,1,6,52,"C","Adults 16-65 yea",1,1
"01010300106052","01010300106",0,768.159851074219,1,1,3,1,1,1,6,52,"D","Adults over 65 y",0,0
"01010300106064","01010300106",0,768.159851074219,1,1,3,1,1,1,6,64,"A","Children 0-5 yea",2,6
"01010300106064","01010300106",0,768.159851074219,1,1,3,1,1,1,6,64,"B","Children 6-15 ye",7,21
"01010300106064","01010300106",0,768.159851074219,1,1,3,1,1,1,6,64,"C","Adults 16-65 yea",2,6
"01010300106064","01010300106",0,768.159851074219,1,1,3,1,1,1,6,64,"D","Adults over 65 y",0,0
"01010300106076","01010300106",0,768.159851074219,1,1,3,1,1,1,6,76,"A","Children 0-5 yea",0,0
"01010300106076","01010300106",0,768.159851074219,1,1,3,1,1,1,6,76,"B","Children 6-15 ye",0,0
"01010300106076","01010300106",0,768.159851074219,1,1,3,1,1,1,6,76,"C","Adults 16-65 yea",0,0
"01010300106076","01010300106",0,768.159851074219,1,1,3,1,1,1,6,76,"D","Adults over 65 y",0,0
"01010300106088","01010300106",0,768.159851074219,1,1,3,1,1,1,6,88,"A","Children 0-5 yea",0,0
"01010300106088","01010300106",0,768.159851074219,1,1,3,1,1,1,6,88,"B","Children 6-15 ye",0,0
"01010300106088","01010300106",0,768.159851074219,1,1,3,1,1,1,6,88,"C","Adults 16-65 yea",0,0
"01010300106088","01010300106",0,768.159851074219,1,1,3,1,1,1,6,88,"D","Adults over 65 y",0,0
"01010300106100","01010300106",0,768.159851074219,1,1,3,1,1,1,6,100,"A","Children 0-5 yea",0,0
"01010300106100","01010300106",0,768.159851074219,1,1,3,1,1,1,6,100,"B","Children 6-15 ye",0,0
"01010300106100","01010300106",0,768.159851074219,1,1,3,1,1,1,6,100,"C","Adults 16-65 yea",5,9
"01010300106100","01010300106",0,768.159851074219,1,1,3,1,1,1,6,100,"D","Adults over 65 y",0,0
"01010300106112","01010300106",0,768.159851074219,1,1,3,1,1,1,6,112,"A","Children 0-5 yea",0,0
"01010300106112","01010300106",0,768.159851074219,1,1,3,1,1,1,6,112,"B","Children 6-15 ye",0,0
"01010300106112","01010300106",0,768.159851074219,1,1,3,1,1,1,6,112,"C","Adults 16-65 yea",2,4
"01010300106112","01010300106",0,768.159851074219,1,1,3,1,1,1,6,112,"D","Adults over 65 y",1,2
"01010300106124","01010300106",0,768.159851074219,1,1,3,1,1,1,6,124,"A","Children 0-5 yea",0,0
"01010300106124","01010300106",0,768.159851074219,1,1,3,1,1,1,6,124,"B","Children 6-15 ye",0,0
"01010300106124","01010300106",0,768.159851074219,1,1,3,1,1,1,6,124,"C","Adults 16-65 yea",3,5
"01010300106124","01010300106",0,768.159851074219,1,1,3,1,1,1,6,124,"D","Adults over 65 y",0,0
"01010300106136","01010300106",0,768.159851074219,1,1,3,1,1,1,6,136,"A","Children 0-5 yea",6,15
"01010300106136","01010300106",0,768.159851074219,1,1,3,1,1,1,6,136,"B","Children 6-15 ye",4,12
"01010300106136","01010300106",0,768.159851074219,1,1,3,1,1,1,6,136,"C","Adults 16-65 yea",2,4
"01010300106136","01010300106",0,768.159851074219,1,1,3,1,1,1,6,136,"D","Adults over 65 y",2,4
"01010301804004","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,4,"A","Children 0-5 yea",0,0
"01010301804004","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,4,"B","Children 6-15 ye",0,0
"01010301804004","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,4,"C","Adults 16-65 yea",0,0
"01010301804004","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,4,"D","Adults over 65 y",0,0
"01010301804019","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,19,"A","Children 0-5 yea",0,0
"01010301804019","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,19,"B","Children 6-15 ye",0,0
"01010301804019","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,19,"C","Adults 16-65 yea",0,0
"01010301804019","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,19,"D","Adults over 65 y",0,0
"01010301804034","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,34,"A","Children 0-5 yea",0,0
"01010301804034","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,34,"B","Children 6-15 ye",0,
"01010301804034","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,34,"C","Adults 16-65 yea",7,14
"01010301804034","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,34,"D","Adults over 65 y",0,
"01010301804049","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,49,"A","Children 0-5 yea",0,0
"01010301804049","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,49,"B","Children 6-15 ye",0,0
"01010301804049","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,49,"C","Adults 16-65 yea",0,0
"01010301804049","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,49,"D","Adults over 65 y",0,0
"01010301804051","01010301804",1,764.945922851563,1,1,3,8,88,18,4,51,"A","Children 0-5 yea",0,0
"01010301804051","01010301804",1,764.945922851563,1,1,3,8,88,18,4,51,"B","Children 6-15 ye",0,0
"01010301804051","01010301804",1,764.945922851563,1,1,3,8,88,18,4,51,"C","Adults 16-65 yea",2,6
"01010301804051","01010301804",1,764.945922851563,1,1,3,8,88,18,4,51,"D","Adults over 65 y",0,0
"01010301804054","01010301804",1,764.945922851563,1,1,3,8,88,18,4,54,"A","Children 0-5 yea",0,0
"01010301804054","01010301804",1,764.945922851563,1,1,3,8,88,18,4,54,"B","Children 6-15 ye",0,0
"01010301804054","01010301804",1,764.945922851563,1,1,3,8,88,18,4,54,"C","Adults 16-65 yea",3,8
"01010301804054","01010301804",1,764.945922851563,1,1,3,8,88,18,4,54,"D","Adults over 65 y",0,0
"01010301804069","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,69,"A","Children 0-5 yea",0,0
"01010301804069","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,69,"B","Children 6-15 ye",0,0
"01010301804069","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,69,"C","Adults 16-65 yea",0,0
"01010301804069","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,69,"D","Adults over 65 y",0,0
"01010301804085","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,85,"A","Children 0-5 yea",0,0
"01010301804085","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,85,"B","Children 6-15 ye",0,0
"01010301804085","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,85,"C","Adults 16-65 yea",0,0
"01010301804085","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,85,"D","Adults over 65 y",0,0
"01010301804100","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,100,"A","Children 0-5 yea",0,0
"01010301804100","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,100,"B","Children 6-15 ye",0,0
"01010301804100","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,100,"C","Adults 16-65 yea",0,0
"01010301804100","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,100,"D","Adults over 65 y",0,0
"01010301804115","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,115,"A","Children 0-5 yea",0,0
"01010301804115","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,115,"B","Children 6-15 ye",0,0
"01010301804115","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,115,"C","Adults 16-65 yea",0,0
"01010301804115","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,115,"D","Adults over 65 y",0,0
"01010301804130","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,130,"A","Children 0-5 yea",0,0
"01010301804130","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,130,"B","Children 6-15 ye",0,0
"01010301804130","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,130,"C","Adults 16-65 yea",0,0
"01010301804130","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,130,"D","Adults over 65 y",0,0
"01010301804145","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,145,"A","Children 0-5 yea",0,0
"01010301804145","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,145,"B","Children 6-15 ye",0,
"01010301804145","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,145,"C","Adults 16-65 yea",1,12
"01010301804145","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,145,"D","Adults over 65 y",0,
"01010500204001","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,1,"A","Children 0-5 yea",0,0
"01010500204001","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,1,"B","Children 6-15 ye",0,0
"01010500204001","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,1,"C","Adults 16-65 yea",0,0
"01010500204001","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,1,"D","Adults over 65 y",0,0
"01010500204025","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,25,"A","Children 0-5 yea",0,0
"01010500204025","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,25,"B","Children 6-15 ye",0,0
"01010500204025","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,25,"C","Adults 16-65 yea",0,0
"01010500204025","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,25,"D","Adults over 65 y",0,0
"01010500204049","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,49,"A","Children 0-5 yea",0,0
"01010500204049","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,49,"B","Children 6-15 ye",0,0
"01010500204049","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,49,"C","Adults 16-65 yea",0,0
"01010500204049","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,49,"D","Adults over 65 y",0,0
"01010500204073","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,73,"A","Children 0-5 yea",0,0
"01010500204073","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,73,"B","Children 6-15 ye",0,0
"01010500204073","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,73,"C","Adults 16-65 yea",0,0
"01010500204073","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,73,"D","Adults over 65 y",0,0
"01010500204097","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,97,"A","Children 0-5 yea",0,0
"01010500204097","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,97,"B","Children 6-15 ye",0,0
"01010500204097","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,97,"C","Adults 16-65 yea",0,0
"01010500204097","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,97,"D","Adults over 65 y",0,0
"01010500204121","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,121,"A","Children 0-5 yea",0,0
"01010500204121","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,121,"B","Children 6-15 ye",0,0
"01010500204121","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,121,"C","Adults 16-65 yea",0,0
"01010500204121","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,121,"D","Adults over 65 y",0,0
"01010500204142","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,142,"A","Children 0-5 yea",0,0
"01010500204142","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,142,"B","Children 6-15 ye",0,0
"01010500204142","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,142,"C","Adults 16-65 yea",2,4
"01010500204142","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,142,"D","Adults over 65 y",0,0
"01010500204145","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,145,"A","Children 0-5 yea",0,0
"01010500204145","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,145,"B","Children 6-15 ye",0,0
"01010500204145","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,145,"C","Adults 16-65 yea",0,0
"01010500204145","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,145,"D","Adults over 65 y",0,0
"01010500204169","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,169,"A","Children 0-5 yea",0,0
