"holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_saq10","ph_saq12","ph_saq13","ph_saq14_a","ph_saq14_b","ph_saq14_c","ph_saq15_a","ph_saq15_b","ph_saq16_a","ph_saq16_b","ph_saq17_a","ph_saq17_b","ph_saq17_c","ph_saq17_d","ph_saq17_e","ph_saq17_f","ph_saq17_g","ph_saq17_h","ph_saq17_i","ph_saq17_j","ph_saq17_k","ph_saq17_l","ph_saq17_m","ph_saq17_n","ph_saq18_a","ph_saq18_b","ph_saq18_c","ph_saq19_a","ph_saq19_b","ph_saq20_a","ph_saq20_b","ph_saq21_a","ph_saq21_b","ph_saq21_c","ph_saq21_d","ph_saq21_e","ph_saq21_f","ph_saq21_g","ph_saq21_h","ph_saq21_i","ph_saq21_j","ph_saq21_k","ph_saq21_l","ph_saq21_m","ph_saq21_n","ph_saq22_a","ph_saq22_b","ph_saq22_c","ph_saq23_a","ph_saq23_b","ph_saq24_a","ph_saq24_b","ph_saq25_a","ph_saq25_b","ph_saq25_c","ph_saq25_d","ph_saq25_e","ph_saq25_f","ph_saq25_g","ph_saq25_h","ph_saq25_i","ph_saq25_j","ph_saq25_k","ph_saq25_l","ph_saq25_m","ph_saq25_n","ph_saq27_a","ph_saq27_b","ph_saq27_c","ph_saq27_d","ph_saq28_a","ph_saq28_b","ph_saq28_c","ph_saq28_d","ph_saq29_a","ph_saq29_b","ph_saq29_c","ph_saq29_d","ph_saq30_a","ph_saq30_b","ph_saq30_c","ph_saq30_d","ph_saq31_a","ph_saq31_b","ph_saq31_c","ph_saq31_d","ph_saq32_a","ph_saq32_b","ph_saq32_c","ph_saq32_d","ph_saq33_a","ph_saq33_b","ph_saq33_c","ph_saq33_d","ph_saq34_a","ph_saq34_b","ph_version"
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,1,4,,1,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,1,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,22,9,2004,1,,1.20000004768372
"0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,6,,3,20,5,2004,2,30,3,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,1,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,22,9,2004,1,,1.20000004768372
"0101030010611201","01010300106112","01010300106",0,768.159851074219,1,1,3,1,6,112,1,3,,2,21,5,2004,9,0,9,20,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,1,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,22,9,2004,1,,1.20000004768372
"0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,10,,3,20,5,2004,10,20,12,10,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,1,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,22,9,2004,1,,1.20000004768372
"0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,1,3,18,4,4,1,4,,3,19,4,2004,2,50,6,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,19,4,2004,,7,5,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180401901","01010301804019","01010301804",1,3901.22436523438,1,1,3,18,4,19,1,5,,3,22,4,2004,1,40,7,20,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,22,4,2004,,7,6,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180403401","01010301804034","01010301804",1,3901.22436523438,1,1,3,18,4,34,1,2,,1,25,4,2004,1,20,5,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,25,4,2004,,7,6,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180404901","01010301804049","01010301804",1,3901.22436523438,1,1,3,18,4,49,1,2,,3,26,4,2004,7,20,11,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,26,4,2004,,7,6,2004,,,,,,7,9,2004,,,,,,19,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180406901","01010301804069","01010301804",1,3901.22436523438,1,1,3,18,4,69,1,3,,3,15,4,2004,9,20,12,40,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,15,4,2004,,7,6,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,1,3,18,4,85,1,5,,3,16,4,2004,9,25,1,15,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,16,4,2004,,7,6,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180410001","01010301804100","01010301804",1,3901.22436523438,1,1,3,18,4,100,1,4,,3,18,4,2004,1,0,5,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,18,4,2004,,7,6,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,3,18,4,115,1,6,,3,25,5,2004,4,30,8,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,25,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,9,,3,24,5,2004,1,5,5,20,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,24,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,8,,3,24,5,2004,8,35,12,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,24,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,18,9,2004,,24,9,2004,1,,1.20000004768372
"0101050020400101","01010500204001","01010500204",1,3071.13232421875,1,1,5,2,4,1,1,3,,3,25,5,2004,2,0,5,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,25,5,2004,,6,6,2004,,,,,,7,9,2004,,,,,,21,9,2004,,26,9,2004,1,,1.20000004768372
"0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,8,,3,16,4,2004,2,0,5,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,16,4,2004,,6,6,2004,,,,,,7,9,2004,,,,,,23,9,2004,,26,9,2004,1,,1.20000004768372
"0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,5,2,4,49,1,6,,3,24,5,2004,2,0,4,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,24,5,2004,,9,6,2004,,,,,,7,9,2004,,,,,,23,9,2004,,26,9,2004,1,,1.20000004768372
"0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,1,5,2,4,73,1,4,,3,18,4,2004,8,30,12,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,18,4,2004,,9,6,2004,,,,,,7,9,2004,,,,,,23,9,2004,,26,9,2004,1,,1.20000004768372
"0101050020409701","01010500204097","01010500204",1,3071.13232421875,1,1,5,2,4,97,1,4,,3,8,4,2004,2,0,5,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,8,4,2004,,9,6,2004,,,,,,7,9,2004,,,,,,21,9,2004,,26,9,2004,1,,1.20000004768372
"0101050020412101","01010500204121","01010500204",1,3071.13232421875,1,1,5,2,4,121,1,2,,3,29,5,2004,2,0,5,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,29,5,2004,,9,6,2004,,,,,,7,9,2004,,,,,,21,9,2004,,26,9,2004,1,,1.20000004768372
"0101050020414501","01010500204145","01010500204",1,3071.13232421875,1,1,5,2,4,145,1,4,,3,8,4,2004,8,0,11,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,8,4,2004,,9,6,2004,,,,,,7,9,2004,,,,,,22,9,2004,,26,9,2004,1,,1.20000004768372
